0,KrxFuturesDesc,,,A0014
35,ask3sign,9,1,
36,ask3price,9,5,??) 999.99
37,ask3quantity,9,6,
38,ask3num,9,4,
39,bid3sign,9,1,
40,bid3price,9,5,??) 999.99
41,bid3quantity,9,6,
42,bid3num,9,4,
43,ask4sign,9,1,
44,ask4price,9,5,??) 999.99
45,ask4quantity,9,6,
46,ask4num,9,4,
47,bid4sign,9,1,
48,bid4price,9,5,??) 999.99
49,bid4quantity,9,6,
50,bid4num,9,4,
51,ask5sign,9,1,
52,ask5price,9,5,??) 999.99
53,ask5quantity,9,6,
54,ask5num,9,4,
55,bid5sign,9,1,
56,bid5price,9,5,??) 999.99
57,bid5quantity,9,6,
58,bid5num,9,4,
59,asktotalquantity,9,6,
60,asktotalnum,9,5,
61,bidtotalquantity,9,6,
62,bidtotalnum,9,5,
63,marketstatetype,9,2,*????? o???? ?????? 00 : ???(??????) 10 : ?ð?????? 11 : ?ð?????????? 20 : ???????? 21 : ???????????? 30 : ????????? 40 : ???? 80 : ???????u??(?????u??) 90 : ??????? 99 : ??????
64,marketmanagetype,9,3,
65,expectedpricesign,9,1,????????ø? ???? (?????±??????:10;20;30;80)
66,expectedprice,9,5,??) 999.99 ????????ø? ???? (?????±??????:10;20;30;80)
67,eot,9,1,%Hff
0,KrxFuturesPolling,,,I2014
1,datatype,9,2,I2
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,timestampHHSS,9,4,HHSS
5,mainorbackup,9,2,space
6,filler,9,8,
7,eot,9,1,%Hff
0,KrxFuturesOpenMarketManage,,,M4014
1,datatype,9,2,M4
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,timestamp,9,8,
5,marketmanagecode,9,3,*???????? ????
6,stockid,9,10,*????????->???????????->???ID ????
7,krcode,X,12,*???????? ???? ????? ????
8,seq,9,3,*???????? ???? ????? ????
9,marketstatecode,9,2,*????? o???? ?????? 00 : ???(??????) 10 : ?ð?????? 11 : ?ð?????????? 20 : ???????? 21 : ???????????? 30 : ????????? 40 : ???? 80 : ???????u??(?????u??) 90 : ??????? 99 : ??????
10,eot,9,1,%Hff
0,KrxFuturesClose,,,H0014
1,datatype,9,2,
2,infotype,9,2,
3,markettype,9,1,
4,eot,9,1,
